2025-04-03 19:32:29.008 [info] Starting Python Locator /teamspace/studios/this_studio/.vscode-server/extensions/ms-python.python-2025.2.0-linux-x64/python-env-tools/bin/pet server
2025-04-03 19:32:29.008 [info] Discovered manager: (Poetry) /commands/poetry
2025-04-03 19:32:29.008 [info] Discovered manager: (Conda) /home/zeus/miniconda3/bin/conda
2025-04-03 19:32:29.008 [info] Discovered env: /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 19:32:29.008 [info] Discovered env: /usr/bin/python3
2025-04-03 19:32:29.008 [info] Discovered env: /bin/python3
2025-04-03 19:32:29.008 [info] Locator Conda took 28.544147ms
2025-04-03 19:32:29.008 [info] Locator Homebrew took 173.788µs
2025-04-03 19:32:29.008 [info] Locator LinuxGlobal took 29.365562ms
2025-04-03 19:32:29.008 [info] Locator PipEnv took 51.283µs
2025-04-03 19:32:29.008 [info] Locator Pixi took 166.427µs
2025-04-03 19:32:29.008 [info] Locator Poetry took 716.821µs
2025-04-03 19:32:29.008 [info] Locator PyEnv took 809.245µs
2025-04-03 19:32:29.008 [info] Locator Venv took 90.734µs
2025-04-03 19:32:29.008 [info] Locator VirtualEnv took 25.241µs
2025-04-03 19:32:29.008 [info] Locator VirtualEnvWrapper took 99.064µs
2025-04-03 19:32:29.008 [info] Locator GlobalVirtualEnvs took 682.379µs
2025-04-03 19:32:29.008 [info] Locator Locators took 30.930649ms
2025-04-03 19:32:29.008 [info] Locator Path took 72.212449ms
2025-04-03 19:32:29.008 [info] Locator Workspaces took 14.172063ms
2025-04-03 19:32:29.008 [info] Refresh completed in 72ms
2025-04-03 19:32:29.013 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 19:33:09.594 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 19:34:45.231 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 19:36:47.639 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 19:38:43.864 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 19:40:43.889 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 19:44:28.003 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 19:45:42.752 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 19:58:43.387 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:00:54.402 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:02:50.634 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:04:39.930 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:06:20.779 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:11:13.834 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:12:02.048 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:15:20.935 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:26:07.879 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:26:45.878 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:28:31.530 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:32:11.913 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:39:07.566 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:45:46.517 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:46:58.452 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:53:09.372 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:53:43.680 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:58:27.941 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 20:59:17.370 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:06:31.334 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:09:38.043 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:11:59.094 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:14:42.150 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:16:13.813 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:18:10.623 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:21:18.359 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:22:06.919 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:23:36.255 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:26:09.948 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:31:14.391 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:32:55.262 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:35:14.031 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:36:39.699 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:37:31.139 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:42:22.462 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 21:48:21.547 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 22:01:06.860 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 22:04:37.754 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 22:06:27.491 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
2025-04-03 22:07:28.368 [info] Resolved Python Environment /home/zeus/miniconda3/envs/cloudspace/bin/python
